Year,Month,Methane,NDBI,NDVI,Humidity,Waste,WindSpeed,LST
2011,8,311.7610528,0.063498042,0.345684573,0.02,6814.79866,3.011,29.46334
2011,9,298.9635637,0.298060892,0.490732645,0.02,6535.05778,3.307,27.735
2011,10,303.2293934,0.347269545,0.568615427,0.017,6628.30474,1.681,29.22176
2011,11,294.6977341,0.40268833,0.365966667,0.011,6441.81082,1.57,26.985
2011,12,293.9867624,0.282234121,0.369118733,0.008,6426.26966,2.23,24.438
2012,1,311.8524495,0.348577024,0.411400964,0.008,6472.16324,2.64,22.05666
2012,2,312.2336872,0.332522791,0.587039807,0.007,6480.07542,2.585,25.66818
2012,3,313.3774003,0.310934104,0.647040634,0.01,6503.81196,2.518,31.10524
2012,4,314.5211134,0.295649236,0.559601653,0.016,6527.5485,3.793,32.8
2012,5,314.9023512,0.261101225,0.383565427,0.018,6535.46068,3.49,32.82846
2012,6,316.0460643,0.260317669,0.33198719,0.021,6559.19722,4.027,34.29
2012,8,334.3454745,0.273170132,0.39350427,0.02,6938.98186,3.077,27.47
2012,9,320.6209169,0.389796411,0.581033196,0.02,6654.14338,2.879,28.34428
2012,10,325.1957694,0.406346834,0.505756612,0.016,6749.08954,2.494,28.14
2012,11,316.0460643,0.277193595,0.480398347,0.01,6559.19722,2.583,25.66666
2012,12,315.2835889,0.32854281,0.383291185,0.007,6543.37286,2.624,23.542
2013,1,332.5324435,0.30828739,0.270243939,0.006,6587.99204,2.948,21.88384
2013,2,332.9389624,0.301059702,0.4744927,0.006,6596.04582,3.342,26.93546
2013,3,334.1585191,0.305616434,0.731525758,0.01,6620.20716,2.831,32.574
2013,4,335.3780757,0.333502657,0.647206336,0.014,6644.3685,3.439,32.73
2013,5,335.7845946,0.233973308,0.470115565,0.02,6652.42228,4.527,27.98714
2013,6,337.0041512,0.174683735,0.486720386,0.02,6676.58362,3.391,30.36
2013,8,356.5170574,0.156077071,0.472456612,0.02,7063.16506,3.116,26.75
2013,9,341.8823778,0.194961732,0.474879614,0.02,6773.22898,2.271,28.61
2013,10,346.7606043,0.319027327,0.470484573,0.018,6869.87434,2.28,27.81166
2013,11,337.0041512,0.364424082,0.457650551,0.011,6676.58362,2.421,26.54904
2013,12,336.1911135,0.305777429,0.34222259,0.008,6660.47606,2.375,23.73714
2014,1,352.8461523,0.312613235,0.309716253,0.007,7538.99066,2.819,23.36454
2014,2,353.2775046,0.297241523,0.494349036,0.007,7548.20703,2.472,25.8262
2014,3,354.5715614,0.303225102,0.689514876,0.009,7575.85614,2.666,31.87462
2014,4,355.8656182,0.240720203,0.366875069,0.013,7603.50525,2.766,34.9508
2014,5,356.2969704,0.233612683,0.342056474,0.017,7612.72162,3.87,34.22858
